  Measurement Number     Measurement type
                   2               PQPUND

      Measurement ID                     
       739688.753479                     

          First Bias          Second Bias                Steps           Repetition
                   2                   -2                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
              0.0001               0.0001               0.0001               0.0001

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
      1.9184   -2.448e-06  -2.4034e-06
      1.8367  -2.5827e-06   -2.589e-06
      1.7551  -2.2631e-06  -2.8904e-06
      1.6735  -2.5183e-06  -2.3188e-06
      1.5918  -2.3478e-06  -2.5271e-06
      1.5102  -2.1013e-06  -2.6293e-06
      1.4286  -2.3242e-06  -2.4838e-06
      1.3469  -2.2907e-06  -2.2514e-06
      1.2653  -2.4581e-06  -2.4041e-06
      1.1837  -2.4887e-06  -2.5722e-06
       1.102  -2.6329e-06  -2.5897e-06
      1.0204  -2.3907e-06  -2.5865e-06
     0.93878  -2.2523e-06  -2.5147e-06
     0.85714  -2.0158e-06  -2.4598e-06
     0.77551  -2.4133e-06  -2.5683e-06
     0.69388  -2.4164e-06  -2.6014e-06
     0.61224  -2.3871e-06  -2.4271e-06
     0.53061  -2.0333e-06  -2.2652e-06
     0.44898  -2.1334e-06  -2.2573e-06
     0.36735  -2.0213e-06  -2.1255e-06
     0.28571  -1.9413e-06  -2.3989e-06
     0.20408  -1.8993e-06  -1.9831e-06
     0.12245  -1.8536e-06  -2.0763e-06
    0.040816  -1.6008e-06  -1.9448e-06
   -0.040816  -1.9391e-06  -1.6041e-06
    -0.12245    -2.05e-06  -1.4935e-06
    -0.20408  -1.9022e-06  -1.3378e-06
    -0.28571  -1.9253e-06  -1.8129e-06
    -0.36735  -1.5836e-06  -1.7424e-06
    -0.44898  -1.9542e-06  -1.8522e-06
    -0.53061  -1.9835e-06  -1.7501e-06
    -0.61224  -2.0819e-06  -1.7786e-06
    -0.69388  -1.7218e-06  -1.7046e-06
    -0.77551  -1.8138e-06  -1.9131e-06
    -0.85714  -1.8651e-06  -1.7979e-06
    -0.93878  -1.8313e-06   -1.803e-06
     -1.0204  -3.1721e-06  -2.9739e-06
      -1.102  -3.2706e-06  -2.7715e-06
     -1.1837   -3.016e-06   -2.999e-06
     -1.2653  -2.9399e-06  -2.9452e-06
     -1.3469  -2.7834e-06  -2.7539e-06
     -1.4286  -3.0189e-06   -2.966e-06
     -1.5102  -3.0618e-06  -3.1785e-06
     -1.5918  -2.6978e-06  -2.8718e-06
     -1.6735  -2.6678e-06  -3.2015e-06
     -1.7551   -2.953e-06  -2.9572e-06
     -1.8367   -3.322e-06  -2.9724e-06
     -1.9184  -2.9014e-06   -2.728e-06
          -2  -2.7675e-06  -2.6488e-06
     -1.9184  -2.4464e-06  -2.6578e-06
     -1.8367  -2.6752e-06  -2.5359e-06
     -1.7551  -2.7424e-06  -2.5684e-06
     -1.6735  -2.7292e-06  -2.5457e-06
     -1.5918   -2.953e-06   -2.357e-06
     -1.5102  -2.7725e-06  -2.5782e-06
     -1.4286  -2.8876e-06  -2.7901e-06
     -1.3469  -2.7477e-06  -2.9981e-06
     -1.2653   -2.792e-06  -3.2455e-06
     -1.1837  -2.6651e-06  -3.2056e-06
      -1.102  -2.8168e-06  -2.9197e-06
     -1.0204  -2.7777e-06  -2.7741e-06
    -0.93878  -1.2619e-06  -1.9237e-06
    -0.85714  -1.2613e-06  -1.4359e-06
    -0.77551  -1.1733e-06  -1.4231e-06
    -0.69388  -1.2366e-06   -1.241e-06
    -0.61224  -1.5347e-06  -1.6774e-06
    -0.53061  -1.6634e-06  -1.4412e-06
    -0.44898  -1.5017e-06  -1.5169e-06
    -0.36735  -1.3782e-06   -1.212e-06
    -0.28571  -1.4505e-06  -1.6698e-06
    -0.20408  -1.6478e-06  -1.8091e-06
    -0.12245  -2.0516e-06  -1.7652e-06

                  QV        Points number                   98
     Voltage       Charge
           0  -2.4323e-11
    0.081633  -6.7721e-11
     0.16327  -9.1981e-11
      0.2449   -9.985e-11
     0.32653  -7.4704e-11
     0.40816   -6.241e-11
      0.4898    -5.88e-11
     0.57143  -6.6446e-11
     0.65306  -6.3191e-11
     0.73469  -5.8166e-11
     0.81633  -6.5073e-11
     0.89796  -5.8751e-11
     0.97959  -3.7558e-11
      1.0612  -4.6444e-11
      1.1429  -2.0685e-11
      1.2245  -5.2012e-11
      1.3061  -2.4051e-11
      1.3878  -8.7674e-12
      1.4694  -5.4291e-12
       1.551   1.8065e-11
      1.6327   7.9451e-12
      1.7143   2.3557e-12
      1.7959   8.8162e-12
      1.8776   1.3869e-11
      1.9592   4.1732e-11
      1.9592    5.464e-11
      1.8776   4.0339e-11
      1.7959   3.8638e-11
      1.7143   7.5415e-11
      1.6327   8.9918e-11
       1.551   1.0349e-10
      1.4694   8.5583e-11
      1.3878    1.195e-10
      1.3061   1.6953e-10
      1.2245   1.6705e-10
      1.1429   1.6838e-10
      1.0612   1.7103e-10
     0.97959   1.9273e-10
     0.89796   2.2799e-10
     0.81633   2.5261e-10
     0.73469   2.5424e-10
