  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.760630                     

          First Bias          Second Bias                Steps           Repetition
                   3                   -3                   50                   10

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  980
    Voltages     CurrentP     CurrentC
      1.8367  -6.9761e-06   -6.977e-06
      1.7143  -6.9912e-06  -6.9993e-06
      1.5918  -6.9927e-06  -6.9983e-06
      1.4694  -6.9855e-06  -6.9878e-06
      1.3469  -7.0064e-06  -7.0092e-06
      1.2245  -6.9776e-06  -6.9796e-06
       1.102  -7.0055e-06  -7.0037e-06
     0.97959  -7.0106e-06  -7.0079e-06
     0.85714  -7.0026e-06   -7.004e-06
     0.73469  -7.0101e-06  -7.0155e-06
     0.61224  -7.0142e-06  -7.0124e-06
      0.4898   -7.025e-06  -7.0227e-06
     0.36735  -7.0299e-06  -7.0218e-06
      0.2449  -7.0384e-06  -7.0334e-06
     0.12245  -7.0521e-06   -7.046e-06
           0  -7.0695e-06  -7.0538e-06
    -0.12245  -7.0548e-06  -4.0558e-06
     -0.2449  -7.0829e-06   -6.163e-06
    -0.36735  -7.1461e-06  -6.7423e-06
     -0.4898  -7.1772e-06   -6.884e-06
    -0.61224  -7.2644e-06  -6.9753e-06
    -0.73469  -7.2843e-06  -6.9632e-06
    -0.85714  -7.3071e-06  -6.9829e-06
    -0.97959  -7.2978e-06  -6.9775e-06
      -1.102  -7.2486e-06  -6.9822e-06
     -1.2245  -7.2372e-06  -7.0093e-06
     -1.3469    -7.21e-06  -7.0086e-06
     -1.4694  -7.2012e-06  -6.9844e-06
     -1.5918  -7.2131e-06  -7.0072e-06
     -1.7143  -7.1904e-06  -6.9991e-06
     -1.8367  -7.1489e-06  -7.0097e-06
     -1.9592  -7.1372e-06   -7.016e-06
     -2.0816  -7.1127e-06  -7.0051e-06
     -2.2041  -7.1138e-06  -7.0155e-06
     -2.3265  -7.1305e-06  -7.0296e-06
      -2.449  -7.1131e-06  -7.0122e-06
     -2.5714  -7.1354e-06  -7.0394e-06
     -2.6939  -7.1109e-06  -7.0336e-06
     -2.8163   -7.078e-06  -7.0149e-06
     -2.9388  -7.0795e-06  -7.0348e-06
     -2.9388   3.6347e-06   3.6491e-06
     -2.8163   6.3232e-06   6.3217e-06
     -2.6939   6.9168e-06     6.92e-06
     -2.5714   7.0389e-06   7.0447e-06
      -2.449   7.0353e-06   7.0294e-06
     -2.3265   7.0583e-06   7.0653e-06
     -2.2041   7.0525e-06   7.0485e-06
     -2.0816   7.0493e-06   7.0518e-06
     -1.9592   7.0748e-06   7.0802e-06
     -1.8367   7.0552e-06   7.0539e-06
     -1.7143   7.0727e-06   7.0809e-06
     -1.5918   7.0713e-06   7.0679e-06
     -1.4694   7.0579e-06   7.0676e-06
     -1.3469   7.0932e-06   7.0886e-06
     -1.2245   7.0588e-06   7.0677e-06
      -1.102   7.0773e-06   7.0825e-06
    -0.97959   7.0755e-06   7.0752e-06
    -0.85714   7.0848e-06   7.0912e-06
    -0.73469   7.0816e-06   7.0765e-06
    -0.61224   7.1022e-06    7.107e-06
     -0.4898   7.0841e-06   7.0772e-06
    -0.36735   7.1097e-06    7.112e-06
     -0.2449   7.1152e-06   7.1081e-06
    -0.12245   7.0963e-06   7.0972e-06
           0   6.3365e-06   3.6722e-06
     0.12245   6.9758e-06   6.3259e-06
      0.2449   7.1287e-06   6.9337e-06
     0.36735   7.1527e-06   7.0418e-06
      0.4898   7.1406e-06   7.0505e-06
     0.61224   7.1781e-06   7.0859e-06
     0.73469   7.1617e-06   7.0655e-06
     0.85714    7.175e-06   7.0727e-06
     0.97959   7.1977e-06   7.0864e-06
