  Measurement Number     Measurement type
                  14           PUNDDouble

      Measurement ID                     
       739688.761918                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                 1000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                 1000
         P          U          N          D
1.3455e-11 3.0758e-12 -6.093e-12 -3.8517e-12
8.2038e-12 2.9036e-12 -5.8135e-12 -3.8336e-12
7.4566e-12 2.7776e-12 -5.8008e-12 -3.6799e-12
7.1631e-12 2.7831e-12 -5.8185e-12 -3.6803e-12
6.9433e-12 2.7759e-12 -5.8315e-12 -3.7044e-12
6.7782e-12 2.7761e-12 -5.769e-12 -3.5963e-12
6.7755e-12 2.7595e-12 -5.807e-12 -3.7081e-12
6.5456e-12 2.7078e-12 -5.8956e-12 -3.6853e-12
6.5178e-12 2.6909e-12 -5.8686e-12 -3.582e-12
6.4994e-12 2.7071e-12 -5.7424e-12 -3.6383e-12
6.3441e-12 2.6264e-12 -5.8979e-12 -3.5654e-12
6.3979e-12 2.7451e-12 -5.7514e-12 -3.598e-12
6.2724e-12  2.655e-12 -5.9135e-12 -3.6745e-12
6.2517e-12 2.6753e-12 -5.8284e-12 -3.527e-12
6.2702e-12  2.741e-12 -5.7518e-12 -3.5863e-12
6.1728e-12 2.6151e-12 -5.9613e-12 -3.708e-12
6.1248e-12 2.6517e-12 -5.8672e-12 -3.6523e-12
6.1746e-12 2.6752e-12 -5.7918e-12 -3.6023e-12
 6.156e-12 2.6236e-12 -5.9152e-12 -3.6995e-12
6.0793e-12 2.7308e-12 -5.7594e-12 -3.5468e-12
6.0903e-12 2.6306e-12 -5.8781e-12 -3.6922e-12
6.0201e-12 2.6312e-12 -5.8389e-12 -3.5658e-12
6.0472e-12 2.7236e-12 -5.8186e-12 -3.5912e-12
6.0757e-12 2.6255e-12 -5.9473e-12 -3.7251e-12
5.9586e-12 2.6815e-12 -5.8902e-12 -3.5925e-12
5.9979e-12 2.6905e-12 -5.8248e-12 -3.5909e-12
6.0541e-12 2.6702e-12 -5.8859e-12  -3.65e-12
 5.865e-12 2.6436e-12 -5.8113e-12 -3.551e-12
6.0264e-12 2.6568e-12 -5.8226e-12 -3.5791e-12
5.8947e-12 2.6418e-12 -5.9127e-12 -3.5892e-12
5.8972e-12 2.7132e-12 -5.8165e-12 -3.5121e-12
5.9732e-12 2.6802e-12 -5.7786e-12 -3.5968e-12
5.8425e-12 2.6388e-12 -5.8771e-12 -3.5745e-12
5.8415e-12 2.6471e-12 -5.8373e-12 -3.5395e-12
5.9089e-12 2.7029e-12 -5.7942e-12 -3.5745e-12
5.8491e-12 2.5621e-12 -5.8934e-12 -3.4766e-12
5.8696e-12 2.7331e-12  -5.74e-12 -3.543e-12
5.8823e-12 2.6609e-12 -5.8694e-12 -3.6492e-12
 5.798e-12 2.6617e-12 -5.8231e-12 -3.5631e-12
5.9172e-12  2.675e-12 -5.8191e-12 -3.5667e-12
 5.759e-12 2.5771e-12 -5.9239e-12 -3.6377e-12
5.7572e-12 2.6523e-12 -5.8819e-12 -3.586e-12
5.8131e-12 2.6885e-12 -5.7738e-12  -3.58e-12
 5.759e-12 2.6026e-12 -5.8955e-12 -3.5796e-12
 5.801e-12 2.6872e-12 -5.8032e-12 -3.6021e-12
