  Measurement Number     Measurement type
                  16           PUNDDouble

      Measurement ID                     
       739688.762336                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                10000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                10000
         P          U          N          D
6.8785e-11 3.3985e-12 -5.0366e-11 -3.0664e-12
6.7704e-11 3.1724e-12 -5.0105e-11 -3.0845e-12
6.7518e-11 3.1094e-12 -5.0197e-11 -3.0924e-12
6.7337e-11 3.2024e-12 -5.0227e-11 -2.9454e-12
6.7134e-11 2.9325e-12 -5.0261e-11 -3.0892e-12
6.7151e-11 2.9937e-12 -5.0386e-11 -3.1086e-12
6.7118e-11 2.8514e-12 -5.0336e-11 -3.0835e-12
6.7089e-11 2.8825e-12 -5.0315e-11 -3.0316e-12
6.7103e-11 2.8761e-12 -5.0395e-11 -2.9972e-12
6.7107e-11 2.9017e-12 -5.0406e-11 -2.9966e-12
6.6996e-11 2.9452e-12 -5.0384e-11 -3.0841e-12
6.6961e-11 2.8334e-12 -5.0331e-11 -3.1228e-12
6.7008e-11 2.8676e-12 -5.0411e-11 -2.907e-12
6.6992e-11 2.7991e-12 -5.0491e-11 -3.098e-12
6.6879e-11 2.9108e-12 -5.0426e-11 -2.9376e-12
6.6922e-11  2.814e-12 -5.0521e-11 -3.0844e-12
6.7041e-11 2.7476e-12 -5.0533e-11 -3.0425e-12
6.6807e-11 2.7511e-12 -5.0546e-11 -3.0369e-12
6.6775e-11 2.8275e-12 -5.0447e-11 -2.9225e-12
6.6744e-11 2.7982e-12 -5.0486e-11 -3.0791e-12
6.6865e-11 2.9471e-12 -5.0582e-11 -3.0417e-12
6.6892e-11 2.9231e-12 -5.0379e-11 -2.9601e-12
6.6818e-11 2.8781e-12 -5.0483e-11 -3.0813e-12
6.6818e-11 2.9337e-12 -5.0552e-11 -2.9549e-12
6.6891e-11 2.8738e-12 -5.0735e-11 -3.0488e-12
6.6815e-11 2.8003e-12 -5.0582e-11 -2.9954e-12
6.6794e-11  2.907e-12 -5.0549e-11 -3.1221e-12
6.6796e-11  2.986e-12 -5.0546e-11 -3.0714e-12
6.6735e-11 2.9764e-12 -5.0617e-11 -3.0706e-12
6.6828e-11 2.8522e-12 -5.0485e-11 -3.0894e-12
6.6852e-11 2.9988e-12 -5.0622e-11 -3.0265e-12
6.6725e-11 2.7743e-12 -5.0623e-11 -2.9338e-12
6.6743e-11 2.8382e-12 -5.0617e-11 -3.0996e-12
6.6828e-11 2.9366e-12 -5.0578e-11 -3.085e-12
6.6759e-11 2.7541e-12 -5.0499e-11 -2.9817e-12
6.6806e-11  2.839e-12 -5.063e-11 -3.0478e-12
 6.685e-11 2.8141e-12 -5.0526e-11 -3.0868e-12
6.6765e-11 2.8004e-12 -5.0587e-11 -3.1234e-12
6.6737e-11 2.9912e-12 -5.0455e-11 -2.9974e-12
 6.666e-11  2.912e-12 -5.0678e-11 -3.0651e-12
6.6739e-11 2.7925e-12  -5.07e-11 -3.0242e-12
6.6955e-11 2.7791e-12 -5.0595e-11 -3.0894e-12
 6.673e-11 2.8237e-12 -5.0559e-11 -3.1247e-12
 6.669e-11 2.8986e-12 -5.034e-11 -3.0353e-12
6.6859e-11 2.8319e-12 -5.051e-11 -2.923e-12
6.6729e-11 3.1496e-12 -5.1297e-11 -3.0826e-12
6.6675e-11 2.7234e-12 -5.0502e-11 -2.894e-12
6.6707e-11 2.9258e-12 -5.0547e-11 -3.0706e-12
6.6796e-11  2.922e-12 -5.0718e-11 -3.1378e-12
6.6725e-11 2.9048e-12 -5.0683e-11 -2.8605e-12
 6.657e-11 2.7863e-12 -5.0647e-11 -3.0785e-12
6.6691e-11 2.9216e-12 -5.0568e-11 -3.2022e-12
6.6636e-11 2.8036e-12 -5.0678e-11 -3.0969e-12
