  Measurement Number     Measurement type
                  19           CVSweepNew

      Measurement ID             SeriesID
       739688.764247                    0

         MeasureMode                Start                 Stop
                   1                    3                   -3

                Step           Sweep mode            Frequency
                 0.1                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 122

     Voltage   Resistance    Reactance      ACLevel    Frequency
3.0076e+00 7.8863e+06 9.3388e+06 3.4994e-02 1.0000e+03
2.9067e+00 1.3844e+07 9.3371e+06 3.4994e-02 1.0000e+03
2.8071e+00 1.8462e+07 9.3398e+06 3.4994e-02 1.0000e+03
2.7062e+00 2.5878e+07 9.3794e+06 3.4993e-02 1.0000e+03
2.6067e+00 3.4612e+07 9.4069e+06 3.4993e-02 1.0000e+03
2.5070e+00 4.6182e+07 9.4235e+06 3.4994e-02 1.0000e+03
2.4064e+00 6.0846e+07 9.4132e+06 3.4995e-02 1.0000e+03
2.3065e+00 8.3698e+07 9.4175e+06 3.4995e-02 1.0000e+03
2.2058e+00 1.0607e+08 9.4079e+06 3.4995e-02 1.0000e+03
2.1061e+00 1.3396e+08 9.4209e+06 3.4996e-02 1.0000e+03
2.0064e+00 1.7646e+08 9.4533e+06 3.4996e-02 1.0000e+03
1.9056e+00 1.8672e+08 9.4315e+06 3.4994e-02 1.0000e+03
1.8059e+00 2.3566e+08 9.4341e+06 3.4996e-02 1.0000e+03
1.7052e+00 2.7424e+08 9.4300e+06 3.4994e-02 1.0000e+03
1.6056e+00 3.5338e+08 9.4238e+06 3.4994e-02 1.0000e+03
1.5061e+00 3.4328e+08 9.4172e+06 3.4994e-02 1.0000e+03
1.4054e+00 3.9700e+08 9.4482e+06 3.4993e-02 1.0000e+03
1.3053e+00 3.5995e+08 9.4696e+06 3.4995e-02 1.0000e+03
1.2046e+00 4.1425e+08 9.4596e+06 3.4995e-02 1.0000e+03
1.1051e+00 4.0656e+08 9.4403e+06 3.4994e-02 1.0000e+03
1.0053e+00 5.9698e+08 9.4632e+06 3.4994e-02 1.0000e+03
9.0466e-01 5.4466e+08 9.4296e+06 3.4994e-02 1.0000e+03
8.0489e-01 5.9367e+08 9.4700e+06 3.4996e-02 1.0000e+03
7.0424e-01 4.0827e+08 9.4257e+06 3.4994e-02 1.0000e+03
6.0440e-01 4.9898e+08 9.4240e+06 3.4996e-02 1.0000e+03
5.0471e-01 4.6816e+08 9.4296e+06 3.4995e-02 1.0000e+03
4.0409e-01 4.7730e+08 9.3993e+06 3.4994e-02 1.0000e+03
3.0431e-01 4.6807e+08 9.3961e+06 3.4993e-02 1.0000e+03
2.0367e-01 5.0524e+08 9.3934e+06 3.4994e-02 1.0000e+03
1.0394e-01 4.2517e+08 9.3727e+06 3.4994e-02 1.0000e+03
4.4640e-03 5.4039e+08 9.3440e+06 3.4996e-02 1.0000e+03
-9.5240e-02 4.6882e+08 9.3558e+06 3.4995e-02 1.0000e+03
-1.9521e-01 4.5308e+08 9.2749e+06 3.4994e-02 1.0000e+03
-2.9584e-01 4.4334e+08 9.2935e+06 3.4994e-02 1.0000e+03
-3.9561e-01 5.3449e+08 9.2540e+06 3.4994e-02 1.0000e+03
-4.9615e-01 4.0470e+08 9.2041e+06 3.4994e-02 1.0000e+03
-5.9584e-01 4.2282e+08 9.1845e+06 3.4995e-02 1.0000e+03
-6.9545e-01 3.6825e+08 9.1729e+06 3.4994e-02 1.0000e+03
-7.9625e-01 4.1760e+08 9.1310e+06 3.4994e-02 1.0000e+03
-8.9610e-01 3.8918e+08 9.1144e+06 3.4994e-02 1.0000e+03
-9.9687e-01 3.7124e+08 9.1253e+06 3.4996e-02 1.0000e+03
-1.0966e+00 3.5398e+08 9.1479e+06 3.4995e-02 1.0000e+03
-1.1961e+00 3.1102e+08 9.1962e+06 3.4994e-02 1.0000e+03
-1.2969e+00 3.2441e+08 9.2580e+06 3.4996e-02 1.0000e+03
-1.3965e+00 2.9454e+08 9.3678e+06 3.4995e-02 1.0000e+03
-1.4972e+00 3.1985e+08 9.5091e+06 3.4996e-02 1.0000e+03
-1.5972e+00 3.1843e+08 9.5872e+06 3.4994e-02 1.0000e+03
-1.6967e+00 3.3303e+08 9.7400e+06 3.4995e-02 1.0000e+03
-1.7975e+00 2.8950e+08 9.8106e+06 3.4995e-02 1.0000e+03
-1.8972e+00 3.3099e+08 9.8899e+06 3.4995e-02 1.0000e+03
-1.9978e+00 2.3217e+08 9.9620e+06 3.4994e-02 1.0000e+03
-2.0973e+00 2.6086e+08 1.0054e+07 3.4994e-02 1.0000e+03
-2.1971e+00 1.9856e+08 1.0101e+07 3.4995e-02 1.0000e+03
-2.2979e+00 1.6969e+08 1.0082e+07 3.4995e-02 1.0000e+03
-2.3978e+00 1.5147e+08 1.0193e+07 3.4994e-02 1.0000e+03
-2.4984e+00 1.2490e+08 1.0250e+07 3.4994e-02 1.0000e+03
-2.5981e+00 1.0496e+08 1.0255e+07 3.4995e-02 1.0000e+03
-2.6978e+00 8.1949e+07 1.0278e+07 3.4994e-02 1.0000e+03
-2.7984e+00 6.7263e+07 1.0317e+07 3.4994e-02 1.0000e+03
-2.8983e+00 5.5166e+07 1.0268e+07 3.4994e-02 1.0000e+03
-2.9988e+00 4.4760e+07 1.0280e+07 3.4994e-02 1.0000e+03
-2.9987e+00 4.5402e+07 1.0305e+07 3.4994e-02 1.0000e+03
-2.8982e+00 5.9612e+07 1.0382e+07 3.4994e-02 1.0000e+03
-2.7985e+00 7.5443e+07 1.0396e+07 3.4995e-02 1.0000e+03
-2.6978e+00 9.3196e+07 1.0364e+07 3.4993e-02 1.0000e+03
-2.5980e+00 1.1401e+08 1.0358e+07 3.4993e-02 1.0000e+03
-2.4985e+00 1.4193e+08 1.0327e+07 3.4994e-02 1.0000e+03
-2.3978e+00 1.7055e+08 1.0342e+07 3.4995e-02 1.0000e+03
-2.2978e+00 2.0996e+08 1.0345e+07 3.4995e-02 1.0000e+03
-2.1972e+00 2.6683e+08 1.0316e+07 3.4995e-02 1.0000e+03
-2.0973e+00 2.7917e+08 1.0276e+07 3.4995e-02 1.0000e+03
-1.9978e+00 3.4263e+08 1.0282e+07 3.4994e-02 1.0000e+03
-1.8972e+00 4.0630e+08 1.0279e+07 3.4995e-02 1.0000e+03
-1.7975e+00 4.2122e+08 1.0255e+07 3.4995e-02 1.0000e+03
-1.6966e+00 4.6851e+08 1.0220e+07 3.4994e-02 1.0000e+03
-1.5971e+00 6.3239e+08 1.0261e+07 3.4997e-02 1.0000e+03
-1.4972e+00 5.9636e+08 1.0217e+07 3.4995e-02 1.0000e+03
-1.3966e+00 7.3889e+08 1.0196e+07 3.4994e-02 1.0000e+03
-1.2970e+00 5.4081e+08 1.0146e+07 3.4996e-02 1.0000e+03
-1.1962e+00 5.6031e+08 1.0166e+07 3.4995e-02 1.0000e+03
-1.0966e+00 5.3711e+08 1.0106e+07 3.4996e-02 1.0000e+03
-9.9673e-01 5.8088e+08 1.0128e+07 3.4995e-02 1.0000e+03
-8.9615e-01 8.2111e+08 1.0066e+07 3.4994e-02 1.0000e+03
-7.9632e-01 5.9978e+08 1.0076e+07 3.4995e-02 1.0000e+03
-6.9558e-01 8.0380e+08 1.0051e+07 3.4995e-02 1.0000e+03
