  Measurement Number     Measurement type
                  13           PUNDDouble

      Measurement ID                     
       739688.761802                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                 1000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                 1000
         P          U          N          D
  9.77e-11 9.8176e-12 -8.025e-11 -1.3725e-12
 8.345e-11 -2.5489e-12 -8.9584e-11 -8.9983e-12
9.7987e-11 -4.6427e-12 -8.9955e-11 -1.2241e-11
7.7995e-11 1.3921e-11 -8.8009e-11 5.1259e-12
8.5053e-11 5.1469e-12 -9.8001e-11 -4.1455e-12
9.4297e-11 7.0726e-13 -9.2385e-11 -1.5056e-12
8.6426e-11 3.3472e-12 -9.5529e-11 -8.6272e-12
8.9115e-11  1.521e-11 -9.6286e-11 1.3935e-12
7.5145e-11 9.5235e-12 -8.7287e-11 3.7044e-12
9.1846e-11 7.4718e-12 -8.3198e-11 -5.6301e-12
1.0188e-10 -1.1764e-12 -9.2385e-11 8.5081e-12
9.1293e-11 3.7464e-12 -8.039e-11 1.1918e-11
9.3884e-11 -2.584e-12 -8.4423e-11 1.6666e-12
 9.644e-11 9.6776e-12 -8.8947e-11 -1.4986e-12
 9.562e-11 -4.9508e-12 -9.5158e-11 5.9522e-13
7.6699e-11 3.9285e-12 -8.5411e-11 -2.0307e-12
7.7806e-11 7.7589e-12 -9.0733e-11 -9.3274e-12
8.8009e-11 -1.7997e-12 -7.7505e-11 -7.1146e-12
9.4486e-11 2.4579e-12 -8.3044e-11 1.2815e-12
8.3359e-11 9.3975e-12 -8.5642e-11 -7.0866e-12
9.1041e-11 8.8443e-12 -9.2455e-11 7.6258e-12
8.5221e-11 1.8879e-11 -8.9143e-11 6.2463e-12
7.6783e-11 1.8487e-11 -8.436e-11 -2.696e-12
7.1798e-11 7.5208e-12 -8.2792e-11 -1.7436e-12
9.6916e-11  8.088e-12 -7.9752e-11 -2.2128e-12
9.6664e-11 -8.4031e-13 -7.8751e-11 -5.9522e-13
 9.228e-11 4.5937e-12 -8.3821e-11 2.8007e-14
8.1419e-11 3.7744e-12 -8.5292e-11 -1.689e-11
9.9864e-11 -2.2968e-12 -1.0579e-10 -7.6328e-12
9.3905e-11 -8.116e-12 -8.2448e-11 -6.0362e-12
8.9213e-11 6.9046e-12 -7.6027e-11 -6.3794e-12
8.2932e-11 -2.3809e-12 -8.7609e-11  2.654e-12
9.2203e-11 7.7729e-12  -9.02e-11 9.1174e-12
8.3548e-11 1.3242e-11 -8.7567e-11 -2.9971e-12
8.8296e-11 -4.1665e-12 -8.4192e-11 3.0812e-13
9.4178e-11 1.0049e-11 -8.4521e-11 -9.1524e-12
8.6041e-11 3.7044e-12 -9.3835e-11 -1.1498e-11
9.2322e-11 -9.6636e-13 -8.5011e-11 -5.371e-12
9.0789e-11 -1.0658e-11 -7.9998e-11 -8.4031e-13
 9.394e-11 -3.2632e-12 -8.2988e-11 2.5769e-12
8.1734e-11 2.0658e-12 -8.3828e-11  5.329e-12
8.5607e-11 -1.0854e-12 -8.2638e-11 -1.1904e-12
8.5957e-11 9.6986e-12 -9.6139e-11 -4.7758e-12
9.0389e-11 6.8135e-12 -9.4633e-11 -4.8668e-12
8.6923e-11 2.0027e-12 -8.7434e-11 -7.8779e-12
8.8366e-11 5.7491e-12 -9.5095e-11 8.7953e-12
8.5607e-11 -1.1204e-12 -7.5803e-11 -2.6953e-11
 7.296e-11 8.2631e-13 -8.588e-11 -3.8164e-12
9.2994e-11  -2.71e-12 -7.3961e-11 -3.3402e-12
7.8667e-11 8.7182e-12 -9.013e-11 3.6273e-12
8.8765e-11 4.0685e-12 -9.0032e-11 2.5559e-12
8.8198e-11 1.2199e-11 -8.7049e-11 -1.1421e-11
9.3267e-11 1.8417e-12 -8.5207e-11 -4.4957e-12
7.8471e-11 3.2772e-12 -8.9584e-11 -4.2015e-14
8.6489e-11 1.0644e-12 -9.2896e-11 2.0938e-12
8.8317e-11 6.7085e-12 -8.2399e-11 -4.5517e-12
9.2497e-11 1.1029e-11 -8.6986e-11 -1.6176e-12
8.1958e-11 1.0882e-11 -8.6286e-11 -1.7927e-12
9.8029e-11 4.4186e-12 -8.8737e-11 1.5987e-11
8.0866e-11 -8.8233e-13 -9.2931e-11 -3.0111e-13
9.0354e-11 -1.5056e-12 -8.3219e-11 -1.9887e-12
8.5782e-11 4.3276e-12 -8.8534e-11 -2.4859e-12
8.4752e-11 -1.1232e-11 -7.7141e-11 -3.9915e-12
8.7189e-11 6.7785e-12 -8.7231e-11 -7.3457e-12
9.0536e-11 -6.3023e-13 -8.0047e-11 -5.0979e-12
8.7728e-11 3.9775e-12 -7.7456e-11 -7.2477e-12
9.1111e-11 6.9116e-12 -7.9346e-11 -1.1876e-11
9.8323e-11 8.3891e-12 -8.8128e-11 -1.7394e-11
9.4899e-11 1.6806e-12 -8.081e-11 -6.3724e-12
7.8716e-11 3.5293e-12 -9.1377e-11 1.5756e-11
8.3639e-11 1.1239e-11 -9.2483e-11  2.626e-12
8.7981e-11 1.0532e-11 -9.1895e-11 6.2673e-12
7.9101e-11 1.2857e-11 -9.8793e-11 -1.3795e-11
9.2049e-11 9.6426e-12 -9.7707e-11 8.8723e-12
1.0365e-10 2.0308e-13 -8.5046e-11 -9.2924e-12
8.2399e-11 4.1665e-12 -8.2112e-11 -7.997e-12
8.3184e-11  1.084e-11 -9.6174e-11 -1.3088e-11
9.7756e-11  1.806e-11 -9.5536e-11 1.4565e-12
 8.735e-11 2.4299e-12 -9.5249e-11 7.9129e-13
8.3499e-11 -1.6106e-13 -7.7946e-11 4.9438e-12
8.4941e-11 1.5756e-12 -9.0564e-11 -4.8878e-12
9.7511e-11 7.9409e-12 -9.2658e-11 2.2268e-12
9.9899e-11 -2.0938e-12 -7.6825e-11 -9.3835e-12
8.6153e-11   1.07e-11 -9.034e-11 -6.5404e-12
8.4507e-11 6.4774e-12 -9.436e-11 -9.6286e-12
9.3344e-11 2.0798e-12 -8.6083e-11 -1.4355e-12
9.6398e-11 4.9158e-12 -8.3828e-11  -1.21e-11
8.8471e-11 8.9143e-12 -7.8107e-11 1.2675e-12
8.8695e-11 1.1519e-11 -9.644e-11 3.5013e-13
9.6839e-11 2.1918e-12 -8.978e-11 6.2953e-12
8.8079e-11 4.4396e-12 -9.8204e-11 -7.2687e-12
 9.868e-11 3.7184e-12 -9.2063e-11 -4.5377e-12
8.9479e-11 -1.4145e-12 -8.7805e-11  5.553e-12
9.2049e-11 4.6007e-12 -9.562e-11 -1.9887e-12
8.5537e-11  2.724e-12 -8.1111e-11 -1.1582e-11
8.2329e-11 -5.343e-12 -8.0229e-11 -5.427e-12
 8.742e-11 4.5797e-12 -8.6356e-11 -8.7182e-12
8.8373e-11 -9.1104e-12 -8.2483e-11 -2.9411e-12
8.7889e-11 -6.6875e-12 -7.8016e-11 -3.5503e-12
9.1685e-11 -5.476e-12 -8.5614e-11 -5.7981e-12
9.5858e-11 5.7422e-13 -8.0082e-11 -7.4227e-12
8.0019e-11 6.6174e-12 -9.4843e-11 4.2226e-12
 9.088e-11 1.3193e-11 -8.831e-11 -5.2799e-12
7.8499e-11 6.3233e-12 -9.0803e-11 -1.042e-11
9.6895e-11 3.0741e-12 -8.6139e-11 7.8219e-12
9.4822e-11 -8.4732e-13 -8.1342e-11 8.5431e-13
8.6048e-11 7.8709e-12 -9.5543e-11 -7.6118e-12
9.8491e-11 1.0686e-11 -8.3646e-11 -1.4656e-11
9.1272e-11 4.2016e-13 -9.2252e-11 2.1708e-13
9.8456e-11 5.7351e-12 -9.3274e-11 -1.3935e-11
8.8625e-11 -2.2058e-12 -7.6797e-11 7.8499e-12
