  Measurement Number     Measurement type
                  15           PUNDDouble

      Measurement ID                     
       739688.762059                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                 1000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                 1000
         P          U          N          D
 6.783e-11 3.3022e-12 -5.0065e-11 -3.085e-12
6.7111e-11 3.1289e-12 -4.9688e-11 -3.0198e-12
6.7015e-11 3.0392e-12 -4.9844e-11 -2.8771e-12
6.6949e-11 3.0548e-12 -4.9933e-11 -2.9939e-12
6.6832e-11 3.0389e-12 -4.9924e-11 -2.9394e-12
6.6812e-11 2.8692e-12 -5.004e-11 -2.9874e-12
6.6683e-11 2.9122e-12 -4.9961e-11 -3.0311e-12
6.6651e-11 3.0546e-12 -4.9941e-11 -3.0869e-12
6.6671e-11 3.0445e-12 -5.0083e-11 -2.9364e-12
6.6557e-11 2.9248e-12 -5.0129e-11  -3.02e-12
 6.661e-11 2.9177e-12 -5.0079e-11 -3.0597e-12
6.6727e-11 3.1031e-12 -5.0142e-11 -3.079e-12
6.6575e-11 2.7294e-12 -5.0173e-11 -3.0238e-12
6.6687e-11 2.9118e-12 -5.0173e-11 -3.0679e-12
6.6547e-11 2.8069e-12 -5.0229e-11 -2.9713e-12
6.6637e-11 2.9427e-12 -5.0244e-11 -3.1204e-12
6.6615e-11  2.928e-12 -5.0186e-11 -3.0279e-12
 6.662e-11 3.0383e-12 -5.016e-11 -3.0112e-12
6.6442e-11 2.8012e-12 -5.0185e-11 -2.8029e-12
6.6622e-11 3.0333e-12 -5.0374e-11 -2.9687e-12
  6.65e-11 2.8643e-12 -5.0283e-11 -3.0256e-12
6.6512e-11 2.9112e-12 -5.0349e-11 -2.979e-12
6.6577e-11 2.8893e-12 -5.0332e-11 -3.0177e-12
6.6471e-11 2.9522e-12 -5.0286e-11 -3.0966e-12
6.6548e-11 3.0495e-12 -5.0292e-11 -3.082e-12
6.6498e-11 2.8439e-12 -5.0204e-11 -3.0427e-12
6.6633e-11 2.9757e-12 -5.0254e-11 -3.1601e-12
6.6622e-11 2.8311e-12 -5.021e-11 -2.9717e-12
6.6525e-11 2.9983e-12 -5.0367e-11 -3.0339e-12
6.6445e-11 2.8757e-12 -5.0265e-11 -3.097e-12
6.6521e-11 2.9144e-12 -5.0348e-11 -3.1603e-12
6.6497e-11 2.9062e-12 -5.0352e-11 -3.0868e-12
 6.644e-11 2.9277e-12 -5.0429e-11 -2.9979e-12
6.6601e-11 2.8768e-12 -5.0446e-11 -3.1183e-12
6.6461e-11 2.8086e-12 -5.0365e-11 -2.9355e-12
6.6502e-11 2.7276e-12 -5.0363e-11 -2.9489e-12
6.6566e-11 2.8724e-12 -5.0358e-11 -3.0458e-12
6.6512e-11 2.8376e-12 -5.0376e-11 -3.0388e-12
6.6453e-11 2.7355e-12 -5.0458e-11 -3.182e-12
6.6545e-11 2.8578e-12 -5.0519e-11 -3.1003e-12
6.6553e-11  2.916e-12 -5.0453e-11 -3.2435e-12
6.6611e-11 2.8274e-12 -5.0608e-11 -3.0459e-12
6.6449e-11  2.786e-12 -5.042e-11 -3.0748e-12
6.6474e-11 2.8492e-12 -5.0538e-11 -3.0488e-12
6.6509e-11 3.0158e-12 -5.0343e-11 -2.9865e-12
6.6548e-11 2.7531e-12 -5.049e-11 -3.0659e-12
  6.66e-11 2.8501e-12 -5.0396e-11 -2.9883e-12
6.6641e-11 2.8924e-12 -5.0417e-11 -3.182e-12
6.6597e-11 2.8796e-12 -5.0435e-11 -3.1124e-12
6.6612e-11 3.0305e-12 -5.0321e-11 -2.9248e-12
6.6524e-11 2.8594e-12 -5.0361e-11 -2.9634e-12
 6.644e-11 2.8211e-12 -5.0636e-11 -3.0528e-12
6.6532e-11  2.933e-12 -5.0352e-11 -3.0237e-12
6.6553e-11 2.9427e-12 -5.0471e-11 -3.082e-12
6.6579e-11 2.8987e-12 -5.0381e-11 -3.0555e-12
6.6605e-11 2.7578e-12 -5.0386e-11 -3.0089e-12
6.6445e-11 2.8304e-12 -5.031e-11 -3.0808e-12
6.6579e-11 2.8489e-12 -5.0382e-11 -2.887e-12
6.6476e-11 2.8367e-12 -5.0518e-11 -2.9702e-12
6.6473e-11 2.8639e-12 -5.0371e-11 -3.0857e-12
6.6394e-11 2.8786e-12 -5.0548e-11 -2.949e-12
6.6534e-11 2.8685e-12 -5.0488e-11 -3.1398e-12
6.6394e-11 2.9942e-12 -5.0429e-11 -3.0168e-12
 6.639e-11 2.7257e-12 -5.052e-11 -3.121e-12
6.6428e-11 2.8927e-12 -5.046e-11 -3.0251e-12
6.6483e-11 2.8458e-12 -5.0438e-11 -2.9504e-12
