  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739603.537944                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                   1                2e-06                   -1                2e-06

           Rise time            Fall Time           Separation
               1e-06                1e-06                1e-06

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 54515223.3761          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1       -4.4          0




