  Measurement Number     Measurement type
                  20            NewRelaib

      Measurement ID                 Mode
       739603.539975                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -4.4                  0.1                    0                  0.1

           Rise time            Fall Time           Separation
               1e-06                1e-06                  0.1

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 56224786.6972          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1         -5          0




