  Measurement Number     Measurement type
                  34            NewRelaib

      Measurement ID                 Mode
       739603.545487                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -5                  0.1                    0                  0.1

           Rise time            Fall Time           Separation
                 0.1                1e-06                  0.1

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 26458176.2379          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1       -4.5          0




