  Measurement Number     Measurement type
                  39            NewRelaib

      Measurement ID                 Mode
       739603.546910                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -5                  0.5                    0                  0.5

           Rise time            Fall Time           Separation
                 0.5                1e-06                 0.01

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 21810250.8179          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1         -3          0




