  Measurement Number     Measurement type
                  16               PQPUND

      Measurement ID                     
       739688.758924                     

          First Bias          Second Bias                Steps           Repetition
                 2.8                 -2.7                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
              0.0001                1e-05                1e-05                1e-05

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
      1.7898   1.1515e-05   1.1515e-05
      1.6776   1.1515e-05   1.1515e-05
      1.5653   1.1515e-05   1.1515e-05
      1.4531   1.1515e-05   1.1515e-05
      1.3408   1.1515e-05   1.1515e-05
      1.2286   1.1515e-05   1.1515e-05
      1.1163   1.1513e-05    1.151e-05
      1.0041    9.537e-06   9.5435e-06
     0.89184   7.4365e-06   7.4582e-06
     0.77959   5.6489e-06    5.662e-06
     0.66735    4.103e-06   4.0911e-06
      0.5551   2.7378e-06   2.7344e-06
     0.44286   1.6421e-06   1.6351e-06
     0.33061   7.7698e-07   7.7629e-07
     0.21837   1.7079e-07   1.6281e-07
     0.10612  -2.3204e-07  -2.2706e-07
  -0.0061224  -4.7099e-07   4.3514e-07
    -0.11837  -7.3582e-07  -6.8551e-07
    -0.23061  -1.1191e-06  -1.0441e-06
    -0.34286  -1.6618e-06  -1.5414e-06
     -0.4551  -2.3763e-06  -2.1919e-06
    -0.56735  -3.2786e-06  -3.0126e-06
    -0.67959  -4.3567e-06  -4.0247e-06
    -0.79184  -5.6476e-06  -5.2218e-06
    -0.90408   -7.134e-06  -6.6067e-06
     -1.0163  -8.8815e-06  -8.2346e-06
     -1.1286  -1.0832e-05  -1.0097e-05
     -1.2408   -1.141e-05   -1.141e-05
     -1.3531   -1.141e-05   -1.141e-05
     -1.4653   -1.141e-05   -1.141e-05
     -1.5776   -1.141e-05   -1.141e-05
     -1.6898   -1.141e-05   -1.141e-05
      -1.802   -1.141e-05   -1.141e-05
     -1.9143   -1.141e-05   -1.141e-05
     -2.0265   -1.141e-05   -1.141e-05
     -2.1388   -1.141e-05   -1.141e-05
      -2.251   -1.141e-05   -1.141e-05
     -2.3633   -1.141e-05   -1.141e-05
     -2.4755   -1.141e-05   -1.141e-05
     -2.5878   -1.141e-05   -1.141e-05
        -2.7   -1.141e-05   -1.141e-05
     -2.5878   -1.141e-05   -1.141e-05
     -2.4755   -1.141e-05   -1.141e-05
     -2.3633   -1.141e-05   -1.141e-05
      -2.251   -1.141e-05   -1.141e-05
     -2.1388   -1.141e-05   -1.141e-05
     -2.0265   -1.141e-05   -1.141e-05
     -1.9143   -1.141e-05   -1.141e-05
      -1.802   -1.141e-05   -1.141e-05
     -1.6898   -1.141e-05   -1.141e-05
     -1.5776   -1.141e-05   -1.141e-05
     -1.4653   -1.141e-05   -1.141e-05
     -1.3531   -1.141e-05   -1.141e-05
     -1.2408  -1.1299e-05  -1.1198e-05
     -1.1286  -9.1682e-06  -9.0661e-06
     -1.0163   -7.302e-06  -7.2312e-06
    -0.90408  -5.6922e-06  -5.6371e-06
    -0.79184  -4.3029e-06  -4.2383e-06
    -0.67959  -3.1135e-06  -3.0739e-06
    -0.56735  -2.0996e-06  -2.0691e-06
     -0.4551  -1.2871e-06  -1.2564e-06
    -0.34286  -6.2764e-07  -6.0493e-07
    -0.23061  -1.2824e-07  -1.2457e-07
    -0.11837   2.0444e-07   2.1612e-07

                  QV        Points number                   98
     Voltage       Charge
        0.05  -1.2569e-12
     0.16224  -3.4464e-12
     0.27449  -1.0499e-11
     0.38673  -2.1045e-11
     0.49898  -3.4938e-11
     0.61122  -5.0047e-11
     0.72347  -6.7611e-11
     0.83571  -8.5822e-11
     0.94796  -1.0293e-10
      1.0602  -1.0293e-10
      1.1724  -1.0293e-10
      1.2847  -1.0293e-10
      1.3969  -1.0293e-10
      1.5092  -1.0293e-10
      1.6214  -1.0293e-10
      1.7337  -1.0293e-10
      1.8459  -1.0293e-10
      1.9582  -1.0293e-10
      2.0704  -1.0293e-10
      2.1827  -1.0293e-10
      2.2949  -1.0293e-10
      2.4071  -1.0293e-10
      2.5194  -1.0293e-10
