  Measurement Number     Measurement type
                  13           PUNDDouble

      Measurement ID                     
       739688.757436                     

        Voltage High          Voltage Low          Repetitions
                 2.8                 -2.7                  100

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                  100
         P          U          N          D
1.8888e-10 7.1006e-12 -1.8322e-10 -3.5713e-12
2.0702e-10 1.2086e-11 -1.8763e-10 -6.6385e-12
1.8674e-10 2.9005e-11 -1.9637e-10 -4.7688e-12
1.9136e-10 1.1302e-11 -1.9421e-10 -7.2267e-12
1.8906e-10 1.7871e-11 -1.955e-10 -1.5476e-12
1.9457e-10 6.5964e-12 -1.9032e-10 -2.0097e-12
2.0012e-10 1.5546e-11 -1.8551e-10 -7.4858e-12
1.9819e-10 2.0406e-11 -2.027e-10 -1.4565e-11
2.0408e-10 1.4362e-11 -1.9827e-10 -1.306e-11
1.9611e-10 1.0854e-11 -1.945e-10 -2.5209e-12
2.0556e-10 7.5558e-12 -1.8988e-10 -2.1904e-11
2.0253e-10 1.1477e-11 -1.9956e-10 -1.8158e-11
2.0094e-10  5.399e-12 -1.968e-10 -4.3906e-12
2.0865e-10 -1.0833e-11 -1.8902e-10 -1.4593e-11
 2.072e-10 1.6526e-11 -2.0112e-10 -1.2156e-11
1.9902e-10 2.6932e-11 -1.9483e-10 -1.5875e-11
2.0289e-10 1.8858e-11 -2.0369e-10 -7.3597e-12
2.1001e-10 1.3704e-11 -1.9715e-10 -8.3261e-12
2.0001e-10 1.5637e-11 -1.9883e-10 -9.2014e-12
2.0685e-10 1.6995e-11 -1.9158e-10 -7.3037e-12
2.1555e-10 1.8907e-12 -1.9552e-10 -1.5315e-11
2.0984e-10 1.5896e-11 -1.9576e-10 -4.4606e-12
2.1065e-10 9.1034e-12 -2.143e-10 -1.0749e-11
2.0996e-10 2.1358e-11 -2.1312e-10 -7.5628e-12
 2.097e-10 1.2535e-11 -1.952e-10 -1.446e-11
2.1101e-10 2.3165e-11 -2.0076e-10 -1.2324e-12
2.2265e-10 1.1967e-11 -1.9915e-10 -1.1029e-11
2.1298e-10 6.8766e-12 -2.0593e-10 -1.1169e-11
2.1444e-10 1.3123e-11 -1.954e-10 -5.406e-12
2.1539e-10 1.4138e-11 -2.0087e-10  2.668e-12
2.1649e-10 1.0231e-11 -2.1915e-10 -3.7744e-12
2.1356e-10 1.5721e-11 -2.0668e-10 2.8712e-13
2.0726e-10 2.2884e-11 -2.1046e-10 -5.8822e-12
1.9943e-10 1.7661e-11 -2.1216e-10 3.2212e-13
2.1511e-10  2.189e-11 -2.0469e-10 -1.4236e-11
2.0856e-10  1.661e-11 -2.0525e-10 -1.6806e-11
 2.015e-10 2.0055e-11 -2.0549e-10 -3.5713e-12
2.1078e-10 -6.9676e-12 -2.0989e-10 -1.953e-11
2.0611e-10 2.4383e-11 -2.109e-10 -1.5119e-11
2.0235e-10 2.5601e-11 -2.0685e-10 2.3249e-12
2.1448e-10 3.3963e-12 -2.1466e-10 -7.0726e-12
2.1987e-10 3.9845e-12 -2.1175e-10 -1.1505e-11
2.0281e-10 2.3914e-11 -2.0362e-10 -2.2548e-12
2.1186e-10 1.5238e-11 -2.0817e-10 -1.3529e-11
2.1386e-10 1.1771e-11 -2.0698e-10 -1.2591e-11
 2.188e-10 1.1673e-11  -2.12e-10 3.5853e-12
2.2155e-10 3.2142e-12 -2.2627e-10 -4.3486e-12
2.2315e-10 1.1225e-11 -2.0932e-10 -1.1043e-11
2.2545e-10 1.1722e-11 -2.0435e-10 -1.0714e-12
2.1477e-10 -2.8007e-14 -1.9595e-10 -1.4166e-11
 2.191e-10 1.1946e-11 -2.0425e-10 -7.2687e-12
2.2165e-10 9.6496e-12 -2.1677e-10 -1.2142e-11
2.1782e-10 4.4115e-13 -2.1193e-10 -1.217e-11
2.2025e-10 1.2514e-11 -2.1305e-10 -4.1245e-12
2.0254e-10 1.8844e-11 -2.1065e-10 -4.9718e-13
2.1218e-10 3.5853e-12 -2.0355e-10 -9.9647e-12
2.1096e-10 1.7142e-11 -2.0562e-10 -7.7379e-12
2.0365e-10 1.4348e-11 -2.1699e-10 1.4018e-14
2.1195e-10 5.1399e-12 -2.0746e-10 -9.4605e-12
2.2202e-10  1.799e-11 -2.202e-10 -6.1903e-12
2.0864e-10 1.1127e-11 -2.1261e-10 -2.0539e-11
2.0827e-10   2.71e-12 -2.0646e-10 -5.7561e-12
2.2011e-10 1.3214e-11 -2.0886e-10 -9.8736e-13
2.1076e-10 1.7668e-11 -2.1971e-10 -1.1078e-11
2.2564e-10 7.9409e-12 -2.066e-10 -1.2822e-11
2.1867e-10 8.4381e-12 -2.1506e-10 -9.6426e-12
2.1263e-10 7.0727e-13 -2.0973e-10 -1.9432e-11
 2.261e-10 8.4591e-12 -2.1307e-10 -1.6785e-11
2.2952e-10 1.5546e-11 -2.0173e-10 -1.6757e-11
2.1679e-10 1.6449e-11 -2.2146e-10 -9.6285e-12
2.2504e-10 7.9829e-12 -2.1587e-10 -1.1169e-11
2.2102e-10 1.1337e-11 -2.0391e-10 -1.8949e-11
2.2061e-10 1.3704e-11 -2.1445e-10 -1.4698e-11
2.1091e-10 1.2227e-11 -2.0658e-10 -1.5014e-11
2.1809e-10 -6.9045e-12 -2.2123e-10 -2.3809e-13
2.0527e-10 9.4185e-12 -2.0817e-10 2.9971e-12
2.1829e-10 -2.829e-12 -2.1548e-10  2.773e-12
2.1018e-10 2.5405e-11 -2.195e-10 -1.1358e-11
2.3571e-10 -6.5054e-12 -2.1992e-10 -5.2519e-12
2.1864e-10 1.9754e-11 -1.9229e-10 -4.0405e-12
2.3113e-10 1.2255e-11 -2.1131e-10 -1.1729e-11
2.2341e-10 4.0195e-12 -2.1932e-10 -1.5644e-11
2.2696e-10 9.3134e-12 -2.059e-10 -1.2437e-11
2.2186e-10 1.2269e-11 -2.1321e-10 -1.876e-11
2.2525e-10 1.2507e-11 -2.2036e-10 -2.0076e-11
2.2706e-10 2.4859e-12 -2.0684e-10 -2.3669e-12
2.2083e-10  1.764e-11 -2.2771e-10 -8.011e-12
2.2219e-10 2.2891e-11 -2.2716e-10 -1.7829e-11
 2.223e-10 1.1498e-11 -2.0528e-10 -4.6077e-12
2.1545e-10 -1.7296e-12 -2.1019e-10 -9.7336e-12
2.0861e-10 1.0392e-11 -2.1568e-10 2.8711e-12
2.3454e-10 -1.3655e-12 -2.1765e-10 -3.5993e-12
2.1993e-10 9.2784e-12 -2.1641e-10 -1.1904e-12
2.1688e-10 1.2787e-11  -2.08e-10 -1.9789e-11
2.2924e-10 1.7689e-11 -2.0978e-10 -9.7826e-12
2.1831e-10  1.488e-11 -2.1299e-10 -1.6932e-11
2.2887e-10 1.1876e-11 -1.9938e-10 -1.3809e-11
 2.266e-10 1.5231e-11 -2.206e-10 -1.5406e-11
2.2527e-10 1.4285e-11 -2.0875e-10 -9.2434e-12
2.1289e-10 6.0152e-12 -2.1548e-10 -1.4691e-11




