  Measurement Number     Measurement type
                  14           PUNDDouble

      Measurement ID                     
       739688.758279                     

        Voltage High          Voltage Low          Repetitions
                 2.8                 -2.7                10000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                10000
         P          U          N          D
 2.085e-10 1.0189e-11 -2.1733e-10 1.2955e-12
2.0999e-10 1.6988e-11 -2.0834e-10 -1.1981e-11
2.1693e-10 1.7661e-11 -2.0976e-10 -1.0357e-11
2.1602e-10 1.3585e-11 -2.0856e-10 -1.2458e-11
 2.198e-10 1.8466e-11 -2.1548e-10 -2.675e-12
2.0884e-10 2.8501e-12 -2.0256e-10 -1.4152e-11
2.2518e-10 7.5628e-12 -2.194e-10 -1.2738e-11
2.2398e-10 1.1792e-11 -2.1298e-10 -4.3556e-12
2.1727e-10 8.8933e-12 -2.1595e-10 -3.0181e-12
2.1641e-10  5.329e-12 -2.0258e-10 -1.1729e-11
2.1267e-10   1.21e-11 -2.1074e-10 -1.3382e-11
2.1029e-10 1.2913e-11 -2.2257e-10 -5.9312e-12
2.1287e-10 9.6426e-12 -2.1268e-10 -7.1216e-12
2.2219e-10 1.9313e-11 -2.1265e-10 -2.0938e-12
2.1483e-10 2.2961e-11 -2.2066e-10 -5.455e-12
2.0906e-10 2.0651e-11 -2.125e-10 -7.7099e-12
2.2389e-10 1.1225e-11 -2.1522e-10 3.1022e-12
2.3618e-10 1.8144e-11 -2.0483e-10 -8.3681e-12
2.1536e-10 1.1372e-11 -2.1115e-10 -6.3794e-12
 2.166e-10 1.1708e-11 -2.3048e-10 3.3542e-12
2.2947e-10 7.2687e-12 -2.2186e-10 -8.7532e-12
2.1861e-10 -1.8206e-13 -2.1756e-10 -4.4816e-12
2.1261e-10 1.6981e-11 -2.0592e-10  5.483e-12
2.2515e-10 1.2962e-11 -2.1256e-10 -1.4488e-11
 2.196e-10 1.3242e-11 -2.1569e-10 -7.2127e-12
2.2343e-10 -2.4369e-12 -2.1005e-10 -4.5027e-12
2.1665e-10 2.0861e-11 -2.1362e-10 -7.8429e-12
2.1255e-10 5.0419e-12 -2.0831e-10 -1.4775e-12
2.0624e-10 -9.1033e-13 -2.0667e-10  2.598e-12
2.1737e-10 9.1244e-12 -2.1179e-10 -9.2924e-12
2.2403e-10 1.6519e-11 -2.1429e-10 -8.6342e-12
 2.232e-10  1.189e-11 -2.1698e-10 -7.1636e-12
2.1842e-10 7.5418e-12 -2.1713e-10 -1.2885e-11
2.2715e-10 1.3151e-11 -2.1953e-10 -4.8668e-12
2.2422e-10 1.9929e-11 -2.1557e-10 2.4719e-12
2.1841e-10  1.084e-11 -2.2198e-10 -1.4075e-11
2.3239e-10 4.6357e-12 -2.105e-10 -1.1127e-11
2.2469e-10 1.5735e-11 -2.1531e-10 -3.8374e-12
2.2426e-10 1.4019e-11 -2.1333e-10 -1.0924e-12
2.1948e-10 1.3795e-11 -2.1554e-10 -8.2981e-12
2.2824e-10 1.0182e-11 -2.2123e-10 -1.799e-11
2.2604e-10 2.2744e-11 -2.2046e-10 -3.4103e-12
2.2077e-10 2.0658e-12 -2.086e-10 -1.6176e-11
2.2144e-10   1.46e-11 -2.1845e-10 -2.598e-12
2.2352e-10 1.3935e-11 -2.2585e-10 8.6342e-12
