  Measurement Number     Measurement type
                  15           PUNDDouble

      Measurement ID                     
       739688.758629                     

        Voltage High          Voltage Low          Repetitions
                 2.8                 -2.7                10000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                10000
         P          U          N          D
4.6024e-09 4.4406e-09 -2.6726e-09 -2.3818e-09
4.6071e-09 4.4168e-09 -2.6738e-09 -2.3907e-09
4.5941e-09 4.4158e-09 -2.6504e-09 -2.3844e-09
4.5984e-09 4.4082e-09 -2.6814e-09 -2.3794e-09
4.5887e-09 4.4143e-09 -2.6617e-09 -2.3877e-09
4.5963e-09 4.4179e-09 -2.6541e-09 -2.3793e-09
4.6068e-09 4.3997e-09 -2.6375e-09 -2.3612e-09
4.6049e-09 4.3983e-09 -2.6221e-09 -2.3508e-09
4.5886e-09 4.4108e-09 -2.6104e-09 -2.3451e-09
4.5882e-09 4.4141e-09 -2.6305e-09 -2.3514e-09
4.5947e-09 4.4108e-09 -2.6507e-09 -2.3465e-09
4.6145e-09  4.419e-09 -2.6588e-09 -2.3668e-09
4.6059e-09 4.4066e-09 -2.6209e-09 -2.3463e-09
4.6057e-09 4.4118e-09 -2.6373e-09 -2.3467e-09
4.5988e-09 4.4058e-09 -2.6497e-09 -2.3524e-09
4.6029e-09 4.3971e-09 -2.6437e-09 -2.369e-09
4.5949e-09   4.39e-09 -2.6135e-09 -2.3539e-09
4.5976e-09 4.4132e-09 -2.6598e-09 -2.3563e-09
4.6092e-09 4.4148e-09 -2.6448e-09 -2.3654e-09
4.6081e-09 4.4113e-09 -2.6547e-09 -2.3728e-09
4.5914e-09 4.4168e-09 -2.6599e-09 -2.3924e-09
4.6259e-09 4.4134e-09 -2.6792e-09 -2.3871e-09
4.5968e-09 4.4055e-09 -2.6405e-09 -2.373e-09
 4.597e-09 4.3995e-09 -2.6558e-09 -2.3995e-09
4.5836e-09 4.3929e-09 -2.6567e-09 -2.3874e-09
4.5962e-09  4.401e-09 -2.6482e-09 -2.3386e-09
4.5968e-09 4.4069e-09 -2.6509e-09 -2.3661e-09
4.5787e-09 4.4051e-09 -2.6611e-09 -2.3677e-09
4.6058e-09 4.3972e-09 -2.6652e-09 -2.3707e-09
4.6002e-09 4.4028e-09 -2.6694e-09 -2.3558e-09
4.5911e-09 4.4013e-09 -2.6784e-09 -2.4121e-09
4.6086e-09 4.4043e-09 -2.6615e-09 -2.3869e-09
4.6035e-09 4.4131e-09 -2.6605e-09 -2.374e-09
4.6172e-09 4.4114e-09 -2.6911e-09 -2.4144e-09
4.6126e-09 4.4278e-09 -2.7082e-09 -2.4062e-09
4.6176e-09 4.4279e-09 -2.6744e-09 -2.3785e-09
4.6303e-09 4.4346e-09 -2.6777e-09 -2.4028e-09
4.6169e-09 4.4083e-09 -2.6797e-09 -2.4081e-09
4.6257e-09 4.4315e-09 -2.6766e-09 -2.3816e-09
4.6254e-09 4.4155e-09 -2.6598e-09 -2.3616e-09
4.6201e-09 4.4288e-09 -2.6568e-09 -2.3702e-09
4.6214e-09 4.4197e-09 -2.6546e-09 -2.3638e-09
4.6096e-09 4.4314e-09 -2.6651e-09 -2.3764e-09
4.6387e-09 4.4544e-09 -2.6877e-09 -2.4225e-09
4.6281e-09 4.4216e-09 -2.6951e-09 -2.3775e-09
4.6313e-09 4.4298e-09 -2.6806e-09 -2.3992e-09
4.6345e-09 4.4411e-09 -2.7192e-09 -2.4161e-09
4.6411e-09 4.4421e-09 -2.6711e-09 -2.3761e-09
4.6298e-09 4.4456e-09 -2.6608e-09 -2.3992e-09
4.6383e-09 4.4328e-09 -2.637e-09 -2.3734e-09
 4.615e-09 4.4357e-09 -2.6733e-09 -2.3953e-09
4.6221e-09 4.4402e-09 -2.6702e-09 -2.3872e-09
4.6469e-09 4.4363e-09 -2.677e-09 -2.396e-09
4.6232e-09 4.4275e-09 -2.6685e-09 -2.3815e-09
4.6326e-09 4.4359e-09 -2.6799e-09 -2.3951e-09
4.6371e-09 4.4285e-09 -2.6734e-09 -2.3873e-09
4.6224e-09 4.4277e-09 -2.6554e-09 -2.3821e-09
4.6224e-09 4.4229e-09 -2.6836e-09 -2.3869e-09
 4.632e-09 4.4095e-09 -2.6897e-09 -2.4022e-09
4.6205e-09 4.4275e-09 -2.6609e-09 -2.3818e-09
 4.614e-09 4.4428e-09 -2.6727e-09 -2.3713e-09
4.6177e-09 4.4185e-09 -2.6627e-09 -2.3911e-09
4.6356e-09 4.4363e-09 -2.6503e-09 -2.3469e-09
4.6052e-09 4.4389e-09 -2.6755e-09 -2.3765e-09
4.6143e-09 4.4292e-09 -2.6506e-09 -2.3536e-09
