  Measurement Number     Measurement type
                  10           CVSweepNew

      Measurement ID             SeriesID
       739688.771209                    0

         MeasureMode                Start                 Stop
                   1                    0                   -1

                Step           Sweep mode            Frequency
                0.05                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                  42

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.2800e-03 4.7681e+07 4.7984e+05 3.4961e-02 1.0000e+03
-4.5536e-02 4.3760e+07 4.8003e+05 3.4960e-02 1.0000e+03
-9.5416e-02 3.7857e+07 4.8001e+05 3.4960e-02 1.0000e+03
-1.4522e-01 3.2056e+07 4.7981e+05 3.4959e-02 1.0000e+03
-1.9536e-01 2.7158e+07 4.7945e+05 3.4959e-02 1.0000e+03
-2.4609e-01 2.3556e+07 4.7927e+05 3.4961e-02 1.0000e+03
-2.9601e-01 2.0369e+07 4.7881e+05 3.4959e-02 1.0000e+03
-3.4567e-01 1.8002e+07 4.7860e+05 3.4959e-02 1.0000e+03
-3.9570e-01 1.5858e+07 4.7818e+05 3.4960e-02 1.0000e+03
-4.4535e-01 1.4407e+07 4.7773e+05 3.4960e-02 1.0000e+03
-4.9634e-01 1.3202e+07 4.7750e+05 3.4960e-02 1.0000e+03
-5.4627e-01 1.1948e+07 4.7674e+05 3.4960e-02 1.0000e+03
-5.9605e-01 1.1294e+07 4.7632e+05 3.4959e-02 1.0000e+03
-6.4594e-01 1.0418e+07 4.7584e+05 3.4960e-02 1.0000e+03
-6.9562e-01 9.5635e+06 4.7525e+05 3.4960e-02 1.0000e+03
-7.4666e-01 9.0844e+06 4.7469e+05 3.4959e-02 1.0000e+03
-7.9646e-01 8.5527e+06 4.7395e+05 3.4960e-02 1.0000e+03
-8.4646e-01 8.3457e+06 4.7312e+05 3.4959e-02 1.0000e+03
-8.9627e-01 8.1884e+06 4.7299e+05 3.4960e-02 1.0000e+03
-9.4591e-01 8.0485e+06 4.7181e+05 3.4959e-02 1.0000e+03
-9.9693e-01 7.6538e+06 4.7127e+05 3.4961e-02 1.0000e+03
-9.9690e-01 7.7308e+06 4.7092e+05 3.4961e-02 1.0000e+03
-9.4595e-01 8.0591e+06 4.7238e+05 3.4959e-02 1.0000e+03
-8.9627e-01 8.0225e+06 4.7299e+05 3.4958e-02 1.0000e+03
-8.4638e-01 8.3792e+06 4.7395e+05 3.4959e-02 1.0000e+03
-7.9640e-01 8.8474e+06 4.7430e+05 3.4960e-02 1.0000e+03
-7.4666e-01 9.0582e+06 4.7490e+05 3.4959e-02 1.0000e+03
-6.9554e-01 9.4983e+06 4.7558e+05 3.4960e-02 1.0000e+03
-6.4590e-01 1.0251e+07 4.7592e+05 3.4960e-02 1.0000e+03
-5.9599e-01 1.1057e+07 4.7669e+05 3.4959e-02 1.0000e+03
-5.4609e-01 1.1940e+07 4.7697e+05 3.4959e-02 1.0000e+03
-4.9621e-01 1.2977e+07 4.7768e+05 3.4961e-02 1.0000e+03
-4.4546e-01 1.4457e+07 4.7809e+05 3.4960e-02 1.0000e+03
-3.9578e-01 1.5999e+07 4.7839e+05 3.4959e-02 1.0000e+03
-3.4582e-01 1.8290e+07 4.7873e+05 3.4960e-02 1.0000e+03
-2.9594e-01 2.0530e+07 4.7910e+05 3.4960e-02 1.0000e+03
-2.4606e-01 2.3798e+07 4.7921e+05 3.4960e-02 1.0000e+03
-1.9538e-01 2.7010e+07 4.7957e+05 3.4961e-02 1.0000e+03
-1.4532e-01 3.1618e+07 4.7955e+05 3.4961e-02 1.0000e+03
-9.5504e-02 3.7372e+07 4.7945e+05 3.4960e-02 1.0000e+03
-4.5624e-02 4.2642e+07 4.7931e+05 3.4960e-02 1.0000e+03
4.3440e-03 4.4508e+07 4.7913e+05 3.4960e-02 1.0000e+03




