  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.752405                     

          First Bias          Second Bias                Steps           Repetition
                 3.5                 -3.5                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
      3.3939   0.00042546    0.0028056
      3.4646    0.0033445    0.0029064
      3.4646    0.0032092    0.0028602
      3.3939    0.0031259    0.0026881
      3.3232    0.0029802    0.0025458
      3.2525    0.0029053    0.0024097
      3.1818    0.0028204    0.0022792
      3.1111    0.0026701     0.002169
      3.0404     0.002539    0.0020653
      2.9697    0.0024191    0.0019722
       2.899     0.002311    0.0018807
      2.8283    0.0022119    0.0017938
      2.7576    0.0021154    0.0017099
      2.6869    0.0020267    0.0016259
      2.6162    0.0019401    0.0015432
      2.5455    0.0018537    0.0014618
      2.4747    0.0017695    0.0013796
       2.404    0.0016854    0.0012981
      2.3333    0.0016051     0.001218
      2.2626    0.0015202    0.0011371
      2.1919    0.0014372     0.001057
      2.1212    0.0013569   0.00097796
      2.0505     0.001277   0.00089887
      1.9798    0.0011974   0.00082133
      1.9091    0.0011155   0.00074461
      1.8384    0.0010362   0.00066859
      1.7677   0.00095668   0.00059703
       1.697   0.00087905   0.00052762
      1.6263   0.00080107   0.00046045
      1.5556    0.0007236    0.0003985
      1.4848   0.00064839   0.00034182
      1.4141   0.00057495   0.00029025
      1.3434   0.00050385    0.0002449
      1.2727   0.00043451   0.00020496
       1.202   0.00036909   0.00017039
      1.1313   0.00030752   0.00014135
      1.0606   0.00025202   0.00011704
      0.9899   0.00020291   9.6366e-05
     0.91919   0.00016065    7.721e-05
     0.84848   0.00012488    6.177e-05
     0.77778   9.6744e-05   4.7605e-05
     0.70707   7.2249e-05   3.5426e-05
     0.63636   5.2377e-05   2.5799e-05
     0.56566   3.7171e-05   1.7963e-05
     0.49495   2.5355e-05   1.1187e-05
     0.42424   1.5503e-05   5.1646e-06
     0.35354   7.3139e-06   9.5229e-07
     0.28283   1.0861e-06  -3.1115e-06
     0.21212  -3.1289e-06  -5.9662e-06
     0.14141  -5.9683e-06  -7.9155e-06
    0.070707  -7.9273e-06  -9.1978e-06
           0  -9.3832e-06  -1.0201e-05
   -0.070707   -1.083e-05  -6.4296e-06
    -0.14141  -1.1875e-05  -7.9448e-06
    -0.21212   -1.456e-05  -8.8626e-06
    -0.28283  -1.8045e-05  -9.2445e-06
    -0.35354  -2.2742e-05  -9.4313e-06
    -0.42424  -2.8301e-05  -9.7338e-06
    -0.49495  -3.5322e-05  -1.0583e-05
    -0.56566  -4.3706e-05  -1.0447e-05
    -0.63636  -5.2634e-05  -1.1231e-05
    -0.70707  -6.2752e-05  -1.1191e-05
    -0.77778  -7.5105e-05  -1.1508e-05
    -0.84848  -8.9209e-05  -1.2315e-05
    -0.91919  -0.00010449  -1.2652e-05
     -0.9899  -0.00012433  -1.3343e-05
     -1.0606  -0.00014424   -1.355e-05
     -1.1313  -0.00016725  -1.4158e-05
      -1.202  -0.00019574  -1.5304e-05
     -1.2727  -0.00022663  -1.5848e-05
     -1.3434  -0.00026064  -1.5942e-05
     -1.4141   -0.0002976  -1.7234e-05
     -1.4848  -0.00033865  -1.8238e-05
     -1.5556  -0.00038473  -1.8666e-05
     -1.6263  -0.00042917  -2.0199e-05
      -1.697   -0.0004821  -2.0764e-05
     -1.7677  -0.00055484   -2.178e-05
     -1.8384  -0.00062405  -2.3201e-05
     -1.9091  -0.00071062  -2.4443e-05
     -1.9798  -0.00083142  -2.6004e-05
     -2.0505   -0.0010576  -2.7212e-05
     -2.1212   -0.0011783  -2.8649e-05
     -2.1919   -0.0012607  -3.0992e-05
     -2.2626   -0.0012975  -3.2786e-05
     -2.3333   -0.0012415  -3.5469e-05
      -2.404  -0.00080456  -3.7903e-05
     -2.4747  -0.00075349  -4.0674e-05
     -2.5455  -0.00075249  -4.4148e-05
     -2.6162  -0.00074012   -4.809e-05
     -2.6869  -0.00075873  -5.4289e-05
     -2.7576  -0.00077965  -5.9642e-05
     -2.8283  -0.00079392  -6.4569e-05
      -2.899   -0.0007052  -7.1872e-05
     -2.9697  -0.00052105  -8.2745e-05
     -3.0404  -0.00033687  -8.7773e-05
     -3.1111  -0.00043637  -9.9559e-05
     -3.1818  -0.00035678  -0.00011274
     -3.2525   -0.0002639  -0.00013037
     -3.3232   -0.0002855  -0.00014895
     -3.3939  -0.00029927  -0.00016446
     -3.4646  -0.00020824  -0.00018396
     -3.4646  -0.00017484  -0.00017532
     -3.3939  -0.00015034  -0.00014927
     -3.3232  -0.00013725  -0.00012858
     -3.2525  -0.00011937  -0.00011509
     -3.1818  -0.00010473   -9.768e-05
     -3.1111  -8.7312e-05  -8.7006e-05
     -3.0404  -7.4299e-05  -7.5133e-05
     -2.9697  -6.8233e-05  -6.4586e-05
      -2.899  -5.8973e-05  -5.6998e-05
     -2.8283  -5.2618e-05  -5.0053e-05
     -2.7576  -4.6876e-05  -4.4982e-05
     -2.6869  -4.1432e-05  -3.9704e-05
     -2.6162  -3.6636e-05  -3.5366e-05
     -2.5455  -3.2251e-05   -3.187e-05
     -2.4747  -2.9378e-05  -2.8043e-05
      -2.404  -2.6108e-05  -2.5487e-05
     -2.3333  -2.3604e-05  -2.2651e-05
     -2.2626  -2.1346e-05  -2.0126e-05
     -2.1919  -1.8942e-05  -1.8841e-05
     -2.1212  -1.7261e-05  -1.6824e-05
     -2.0505  -1.5185e-05  -1.5526e-05
     -1.9798  -1.3659e-05   -1.376e-05
     -1.9091   -1.257e-05  -1.2305e-05
     -1.8384  -1.1571e-05  -1.0743e-05
     -1.7677  -9.5421e-06  -9.2884e-06
      -1.697  -8.7846e-06  -8.7483e-06
     -1.6263  -7.2102e-06  -6.8666e-06
     -1.5556  -6.4798e-06  -5.5571e-06
     -1.4848  -5.5668e-06  -4.9932e-06
     -1.4141  -3.9827e-06  -3.5722e-06
     -1.3434  -3.2642e-06  -3.0488e-06
     -1.2727  -2.7512e-06  -2.4571e-06
      -1.202  -2.2083e-06   -1.381e-06
     -1.1313  -1.1497e-06  -9.2315e-07
     -1.0606  -1.1106e-06  -6.7017e-07
     -0.9899  -2.2831e-07   1.1319e-07
    -0.91919     8.38e-07   8.5333e-07
    -0.84848    9.279e-07   7.6343e-07
    -0.77778   9.8017e-07   1.4708e-06
    -0.70707   1.7649e-06   1.8799e-06
    -0.63636   2.1789e-06   2.6946e-06
    -0.56566    2.526e-06     2.22e-06
    -0.49495   2.6298e-06   2.8487e-06
    -0.42424      3.8e-06   2.9678e-06
    -0.35354   3.6153e-06   3.6578e-06
    -0.28283    3.625e-06   4.0732e-06
    -0.21212   3.8941e-06   4.1038e-06
    -0.14141   4.6753e-06   4.4579e-06
   -0.070707   4.5777e-06   3.7282e-06
             Leak IV        Points number                  198
    Voltages     CurrentP     CurrentC
   -0.035354  -5.5076e-06  -5.6832e-06
    0.035354  -1.0347e-06  -1.1601e-06
     0.10606  -5.6702e-07   6.5749e-07
     0.17677  -8.9109e-07   3.6912e-06
     0.24747  -1.5862e-07   7.0965e-06
     0.31818  -2.9661e-07   1.2546e-05
     0.38889  -1.1541e-07   1.9312e-05
      0.4596  -7.0107e-08   2.8287e-05
      0.5303   6.0917e-08   3.8599e-05
     0.60101   3.0345e-07   5.2587e-05
     0.67172   6.9931e-07   7.0048e-05
     0.74242   9.7599e-07   9.0981e-05
     0.81313   2.2869e-06   0.00011815
     0.88384    3.057e-06   0.00014879
     0.95455   3.0647e-06   0.00018848
      1.0253   3.4759e-06   0.00023355
       1.096    3.294e-06   0.00028668
      1.1667   3.1267e-06   0.00034398
      1.2374   2.4744e-06   0.00040794
      1.3081   3.4125e-06   0.00047571
      1.3788   3.2954e-06   0.00054603
      1.4495   3.3184e-06   0.00061866
      1.5202   3.7972e-06   0.00069345
      1.5909   4.0202e-06   0.00076915
      1.6616    5.175e-06    0.0008473
      1.7323   5.3151e-06   0.00092423
       1.803    5.605e-06    0.0010035
      1.8737    6.479e-06    0.0010823
      1.9444   7.2282e-06    0.0011609
      2.0152   9.0681e-06    0.0012434
      2.0859    9.795e-06    0.0013251
      2.1566   1.1235e-05    0.0014042
      2.2273   1.3577e-05    0.0014856
       2.298   0.00039508    0.0015665
      2.3687   0.00037321    0.0016486
      2.4394    0.0003708    0.0017285
      2.5101   0.00036972    0.0018116
      2.5808   0.00037371    0.0018932
      2.6515   0.00038516    0.0019777
      2.7222   0.00039703    0.0020543
      2.7929   0.00040359    0.0021315
      2.8636   0.00040844    0.0022013
      2.9343   0.00041144    0.0022703
      3.0051   0.00040916    0.0023365
      3.0758   0.00041108    0.0024253
      3.1465   0.00040825    0.0025135
      3.2172   0.00041034    0.0026142
      3.2879   0.00041578    0.0026955
      3.3586   0.00042336    0.0027623
      3.4293   0.00081464    0.0028633
         3.5     0.003302    0.0029447
      3.4293    0.0031696    0.0027719
      3.3586    0.0030456    0.0026165
      3.2879     0.002891     0.002479
      3.2172    0.0028964    0.0023437
      3.1465    0.0027462    0.0022255
      3.0758    0.0026035    0.0021188
      3.0051    0.0024809    0.0020198
      2.9343    0.0023666    0.0019291
      2.8636    0.0022613    0.0018373
      2.7929    0.0021664    0.0017529
      2.7222    0.0020708    0.0016696
      2.6515    0.0019867     0.001587
      2.5808    0.0019004    0.0015058
      2.5101    0.0018135    0.0014228
      2.4394    0.0017291    0.0013432
      2.3687    0.0016481     0.001261
       2.298    0.0015645    0.0011807
      2.2273    0.0014805    0.0011002
      2.1566    0.0013984    0.0010194
      2.0859    0.0013197   0.00094109
      2.0152    0.0012399   0.00086272
      1.9444    0.0011597   0.00078524
      1.8737    0.0010788   0.00070911
       1.803   0.00099948   0.00063503
      1.7323    0.0009203   0.00056478
      1.6616   0.00084239    0.0004964
      1.5909   0.00076426    0.0004309
      1.5202    0.0006886   0.00037284
      1.4495   0.00061499   0.00031762
      1.3788   0.00054153   0.00027061
      1.3081   0.00047188   0.00022722
      1.2374   0.00040348   0.00019125
      1.1667    0.0003401    0.0001588
       1.096   0.00028279   0.00013243
      1.0253   0.00022948   0.00010969
     0.95455   0.00018477    8.973e-05
     0.88384    0.0001449   7.2684e-05
     0.81313   0.00011432   5.8738e-05
     0.74242   8.7052e-05    4.455e-05
     0.67172   6.5417e-05   3.3988e-05
     0.60101   4.8077e-05    2.565e-05
      0.5303   3.4533e-05   1.8255e-05
      0.4596   2.4033e-05     1.23e-05
     0.38889   1.5428e-05   7.0247e-06
     0.31818   8.3537e-06   2.7908e-06
     0.24747   3.0584e-06   -8.753e-08
     0.17677  -4.8548e-07  -3.1032e-06
     0.10606  -2.7394e-06  -4.0691e-06
    0.035354  -4.6566e-06  -5.8121e-06
   -0.035354  -5.9655e-06   6.8676e-07
    -0.10606  -7.0743e-06  -3.3283e-06
    -0.17677  -9.3756e-06  -4.0001e-06
    -0.24747  -1.1587e-05  -4.8887e-06
    -0.31818  -1.5813e-05  -4.9263e-06
    -0.38889  -2.1002e-05   -5.456e-06
     -0.4596  -2.7479e-05  -5.7982e-06
     -0.5303  -3.4425e-05  -6.1299e-06
    -0.60101  -4.3275e-05  -6.5593e-06
    -0.67172  -5.2945e-05  -7.2715e-06
