  Measurement Number     Measurement type
                   5               PQPUND

      Measurement ID                     
       739688.751483                     

          First Bias          Second Bias                Steps           Repetition
                   3                   -3                   60                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-06                1e-06                1e-06                1e-06

                  IV        Points number                  118
    Voltages     CurrentP     CurrentC
      1.7797   4.5298e-05   3.5773e-05
      1.8814   4.6052e-05   3.6403e-05
      1.9831   4.7961e-05   3.6564e-05
      2.0847   5.1085e-05   3.7235e-05
      2.1864   5.6693e-05   3.7549e-05
      2.2881   6.3893e-05   3.8378e-05
      2.3898   6.8044e-05    3.832e-05
      2.4915   6.8906e-05   3.8897e-05
      2.5932   6.4964e-05   3.8801e-05
      2.6949   5.8184e-05   3.8778e-05
      2.7966   5.3838e-05   3.9256e-05
      2.8983   5.9938e-05   4.0609e-05
           3     6.96e-05   9.8071e-05
      2.8983   1.1208e-05    0.0011536
      2.7966     7.45e-07    0.0011536
      2.6949  -5.3438e-06    0.0011536
      2.5932  -8.0107e-06    0.0011536
      2.4915  -1.1367e-05    0.0011536
      2.3898  -1.3514e-05    0.0011536
      2.2881  -1.6512e-05    0.0011536
      2.1864  -1.8412e-05    0.0011536
      2.0847  -2.1375e-05    0.0011536
      1.9831  -2.1959e-05    0.0011536
      1.8814  -2.4075e-05      0.00114
      1.7797  -2.5635e-05    0.0010258
       1.678  -2.6388e-05    0.0009069
      1.5763  -2.8576e-05   0.00079814
      1.4746  -2.8206e-05   0.00069852
      1.3729  -2.9874e-05   0.00059493
      1.2712  -3.0374e-05   0.00050742
      1.1695  -3.1626e-05   0.00042069
      1.0678  -3.1709e-05   0.00033935
      0.9661  -3.3373e-05   0.00026427
     0.86441  -3.2903e-05   0.00019773
     0.76271  -3.3808e-05   0.00014157
     0.66102  -3.5062e-05   9.2935e-05
     0.55932  -3.5273e-05   5.4975e-05
     0.45763   -3.677e-05   2.3651e-05
     0.35593  -3.7124e-05   7.6824e-07
     0.25424   -3.854e-05  -1.4867e-05
     0.15254   -3.998e-05  -2.7417e-05
    0.050847  -4.2407e-05  -3.5324e-05
   -0.050847  -4.1981e-05   3.5674e-05
    -0.15254  -5.0062e-05   6.8809e-06
    -0.25424  -6.5114e-05  -1.6691e-06
    -0.35593  -8.2788e-05  -6.3515e-06
    -0.45763  -0.00010625  -9.1952e-06
    -0.55932  -0.00013264  -1.2799e-05
    -0.66102  -0.00016175  -1.4664e-05
    -0.76271   -0.0002021  -1.7253e-05
    -0.86441  -0.00026898  -1.9247e-05
     -0.9661  -0.00035906  -2.1599e-05
     -1.0678  -0.00046558  -2.2933e-05
     -1.1695  -0.00058682   -2.535e-05
     -1.2712  -0.00072272    -2.61e-05
     -1.3729  -0.00086972  -2.7537e-05
     -1.4746   -0.0010036  -2.9335e-05
     -1.5763   -0.0011431  -2.9623e-05
      -1.678   -0.0011431  -3.1088e-05
     -1.7797   -0.0011431  -3.2016e-05
     -1.8814   -0.0011431  -3.2709e-05
     -1.9831   -0.0011431  -3.3916e-05
     -2.0847   -0.0011431  -3.5961e-05
     -2.1864   -0.0011431  -3.6164e-05
     -2.2881   -0.0011431  -3.8673e-05
     -2.3898  -0.00030231  -4.0409e-05
     -2.4915  -0.00017777  -3.9535e-05
     -2.5932  -0.00017183  -4.1492e-05
     -2.6949  -0.00017247  -4.3047e-05
     -2.7966  -0.00079603  -4.7296e-05
     -2.8983  -0.00017911  -5.1214e-05
          -3   -0.0002706  -5.6671e-05
     -2.8983  -3.6437e-05  -3.5555e-05
     -2.7966  -2.4063e-05    -2.41e-05
     -2.6949  -1.6968e-05  -1.8355e-05
     -2.5932  -9.7353e-06  -1.1794e-05
     -2.4915  -4.4494e-06  -6.7649e-06
     -2.3898   9.4077e-07   8.5697e-07
     -2.2881   5.6415e-06   6.8295e-06
     -2.1864   1.1619e-05    1.214e-05
     -2.0847   1.6265e-05   1.7175e-05
