  Measurement Number     Measurement type
                  13               PQPUND

      Measurement ID                     
       739688.752664                     

          First Bias          Second Bias                Steps           Repetition
                   4                   -4                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
     -3.3131   -0.0042073  -6.9834e-05
     -3.2323   -0.0041024  -6.1991e-05
     -3.1515   -0.0039918  -5.3859e-05
     -3.0707   -0.0038894   -4.665e-05
     -2.9899   -0.0037901  -4.2131e-05
     -2.9091   -0.0036913  -3.6905e-05
     -2.8283   -0.0035924  -3.2085e-05
     -2.7475   -0.0034926  -2.8318e-05
     -2.6667   -0.0033928  -2.5681e-05
     -2.5859   -0.0032937  -2.2475e-05
     -2.5051   -0.0031933  -1.9191e-05
     -2.4242   -0.0030938  -1.7141e-05
     -2.3434   -0.0029931   -1.514e-05
     -2.2626   -0.0028927  -1.3616e-05
     -2.1818   -0.0027914  -1.1811e-05
      -2.101   -0.0026895  -1.0087e-05
     -2.0202   -0.0025889  -8.4737e-06
     -1.9394    -0.002487  -7.6353e-06
     -1.8586   -0.0023844  -6.0874e-06
     -1.7778   -0.0022826  -4.7221e-06
      -1.697     -0.00218  -3.8057e-06
     -1.6162   -0.0020774  -2.8578e-06
     -1.5354   -0.0019749  -2.3874e-06
     -1.4545   -0.0018723  -9.5591e-07
     -1.3737   -0.0017688  -4.8966e-07
     -1.2929   -0.0016647   7.0837e-07
     -1.2121   -0.0015618   9.9481e-07
     -1.1313   -0.0014589   1.7963e-06
     -1.0505   -0.0013545   2.4396e-06
     -0.9697   -0.0012502   2.9518e-06
    -0.88889   -0.0011466   3.7142e-06
    -0.80808   -0.0010425   4.1031e-06
    -0.72727  -0.00093797   4.3575e-06
    -0.64646  -0.00083373   5.4378e-06
    -0.56566  -0.00072917   4.6955e-06
    -0.48485  -0.00062425   5.6336e-06
    -0.40404  -0.00052003   6.0329e-06
    -0.32323  -0.00041473   5.9375e-06
    -0.24242  -0.00030958   5.9193e-06
    -0.16162  -0.00020428   6.0985e-06
   -0.080808   -0.0001005   6.4253e-06
             Leak IV        Points number                  198
    Voltages     CurrentP     CurrentC
   -0.040404  -4.6906e-05  -1.1265e-05
    0.040404   4.3258e-05   4.0021e-06
     0.12121   0.00012995   1.7184e-05
     0.20202    0.0002164    3.012e-05
     0.28283    0.0003036   4.3596e-05
     0.36364     0.000392   5.9852e-05
     0.44444   0.00047988   7.6797e-05
     0.52525   0.00056756   9.4065e-05
     0.60606   0.00065726   0.00011348
     0.68687   0.00074763   0.00013288
     0.76768   0.00083842   0.00015477
     0.84848   0.00092961   0.00017807
     0.92929     0.001021   0.00020216
      1.0101    0.0011145   0.00022797
      1.0909    0.0012066   0.00025523
      1.1717    0.0012995   0.00028469
      1.2525    0.0013932    0.0003147
      1.3333    0.0014876   0.00034866
      1.4141    0.0015824   0.00038464
      1.4949    0.0016766   0.00042298
      1.5758    0.0017722   0.00046519
      1.6566    0.0018698   0.00050901
      1.7374    0.0019661   0.00055646
      1.8182    0.0020625   0.00060754
       1.899    0.0021597    0.0006612
      1.9798    0.0022586   0.00071912
      2.0606     0.002355   0.00078167
      2.1414    0.0024528   0.00084515
      2.2222    0.0025526   0.00091319
       2.303    0.0026543   0.00098511
      2.3838     0.002753    0.0010579
      2.4646    0.0028524    0.0011328
      2.5455    0.0029531    0.0012105
      2.6263    0.0030548    0.0012932
      2.7071    0.0031545    0.0013796
      2.7879    0.0032602    0.0014697
      2.8687    0.0033627    0.0015616
      2.9495    0.0034668    0.0016581
      3.0303    0.0035679    0.0017522
      3.1111    0.0036654    0.0018521
      3.1919    0.0037648    0.0019548
      3.2727    0.0038677     0.002058
      3.3535    0.0039787    0.0021685
      3.4343     0.004089    0.0022765
      3.5152    0.0042045    0.0023953
       3.596    0.0043091    0.0024927
      3.6768    0.0043975    0.0030792
      3.7576    0.0044659    0.0030565
      3.8384    0.0044575    0.0029596
      3.9192    0.0043397    0.0031985
           4    0.0040984    0.0032853
      3.9192    0.0036358    0.0029088
      3.8384    0.0032705    0.0032598
      3.7576    0.0030317      0.00353
      3.6768    0.0027893    0.0033031
       3.596    0.0026152    0.0031428
      3.5152    0.0024746    0.0030032
      3.4343    0.0023433    0.0028759
      3.3535    0.0022207     0.002756
      3.2727    0.0020985    0.0026408
      3.1919    0.0019931    0.0025292
      3.1111    0.0018883      0.00242
      3.0303     0.001785    0.0023191
      2.9495    0.0016814    0.0022193
      2.8687    0.0015843    0.0021202
      2.7879     0.001487    0.0020226
      2.7071    0.0013946    0.0019263
      2.6263    0.0013065    0.0018317
      2.5455    0.0012221    0.0017326
      2.4646    0.0011409    0.0016413
      2.3838    0.0010629    0.0015517
       2.303   0.00098628    0.0014637
      2.2222   0.00091263    0.0013771
      2.1414   0.00084315    0.0012866
      2.0606   0.00077786     0.001203
      1.9798   0.00071531    0.0011218
       1.899   0.00065635    0.0010397
      1.8182   0.00060302   0.00095764
      1.7374   0.00055262   0.00087744
      1.6566   0.00050384   0.00080576
      1.5758   0.00045995   0.00073135
      1.4949   0.00041833   0.00065864
      1.4141   0.00038075   0.00059238
      1.3333   0.00034475   0.00053318
      1.2525   0.00031034   0.00047701
      1.1717   0.00028007   0.00042294
      1.0909   0.00025046   0.00037217
      1.0101   0.00022252   0.00032912
     0.92929   0.00019772   0.00028939
     0.84848   0.00017351   0.00025147
     0.76768   0.00014873   0.00021557
     0.68687   0.00012781   0.00018439
     0.60606   0.00010824    0.0001542
     0.52525   8.9566e-05   0.00012629
     0.44444   7.1677e-05     0.000102
     0.36364   5.4427e-05   7.8675e-05
     0.28283    3.983e-05    5.677e-05
     0.20202   2.6106e-05   3.7529e-05
     0.12121   1.2717e-05   1.9517e-05
    0.040404   3.3551e-07    3.324e-06
   -0.040404  -1.3233e-05  -5.0738e-05
    -0.12121  -3.1034e-05  -0.00015824
    -0.20202  -4.9332e-05  -0.00026403
    -0.28283  -6.7443e-05  -0.00036914
    -0.36364  -8.9427e-05   -0.0004746
    -0.44444  -0.00011192  -0.00057998
    -0.52525  -0.00013769  -0.00068373
    -0.60606  -0.00016201  -0.00078842
    -0.68687   -0.0001919  -0.00089342
    -0.76768  -0.00022286  -0.00099806
    -0.84848  -0.00025404    -0.001102
    -0.92929  -0.00029132   -0.0012067
     -1.0101   -0.0003349   -0.0013098
     -1.0909  -0.00038613   -0.0014142
     -1.1717  -0.00044293   -0.0015177
     -1.2525  -0.00051353   -0.0016216
     -1.3333  -0.00057993   -0.0017257
     -1.4141  -0.00063887   -0.0018289
     -1.4949  -0.00069809   -0.0019311
     -1.5758  -0.00076094   -0.0020334
     -1.6566  -0.00081979   -0.0021368
     -1.7374  -0.00088105   -0.0022392
     -1.8182  -0.00094741   -0.0023411
      -1.899   -0.0010163   -0.0024435
     -1.9798   -0.0011389   -0.0025468
     -2.0606   -0.0012301   -0.0026467
     -2.1414   -0.0013126    -0.002748
     -2.2222   -0.0014125   -0.0028492
      -2.303   -0.0015161   -0.0029503
     -2.3838   -0.0016118   -0.0030503
     -2.4646   -0.0017118   -0.0031515
     -2.5455   -0.0018246    -0.003251
     -2.6263   -0.0019429   -0.0033507
     -2.7071   -0.0016723   -0.0034501
     -2.7879   -0.0016829   -0.0035486
     -2.8687   -0.0017408    -0.003647
     -2.9495   -0.0018117   -0.0037454
     -3.0303   -0.0018851   -0.0038424
     -3.1111   -0.0019765   -0.0039393
     -3.1919   -0.0020496   -0.0040368
     -3.2727   -0.0021052   -0.0041334
     -3.3535   -0.0016669   -0.0042252
     -3.4343  -0.00086105   -0.0043039
     -3.5152   -0.0008452   -0.0040568
      -3.596  -0.00073393   -0.0044762
     -3.6768   -0.0044628  -0.00021613
     -3.7576   -0.0044206  -0.00020924
     -3.8384   -0.0040309   -0.0075056
     -3.9192   -0.0043534    -0.007622
          -4   -0.0049606   -0.0076999
     -3.9192   -0.0043853   -0.0036904
     -3.8384   -0.0046864  -0.00018588
     -3.7576   -0.0048156   -0.0046341
     -3.6768   -0.0046791   -0.0043988
      -3.596   -0.0045317    -0.004226
     -3.5152   -0.0024245  -0.00011234
     -3.4343   -0.0043749  -8.5072e-05
     -3.3535   -0.0042647   -7.892e-05
     -3.2727   -0.0041582  -7.0014e-05
     -3.1919   -0.0040486  -6.2295e-05
     -3.1111   -0.0039443  -5.5543e-05
     -3.0303   -0.0038432  -4.8563e-05
     -2.9495    -0.003744  -4.3877e-05
     -2.8687   -0.0036446  -3.8546e-05
     -2.7879   -0.0035454  -3.5193e-05
     -2.7071   -0.0034461  -3.2006e-05
     -2.6263   -0.0033468  -2.8554e-05
     -2.5455   -0.0032471  -2.5908e-05
     -2.4646   -0.0031467  -2.3346e-05
     -2.3838    -0.003047  -2.0801e-05
      -2.303   -0.0029456  -1.9254e-05
     -2.2222   -0.0028453  -1.7388e-05
     -2.1414   -0.0027431  -1.5137e-05
     -2.0606   -0.0026414  -1.3727e-05
     -1.9798   -0.0025417  -1.3276e-05
      -1.899   -0.0024388  -1.1321e-05
     -1.8182   -0.0023366  -1.0274e-05
     -1.7374   -0.0022345  -8.8229e-06
     -1.6566   -0.0021321  -8.3936e-06
     -1.5758   -0.0020284  -7.5628e-06
     -1.4949   -0.0019272  -6.4136e-06
     -1.4141   -0.0018244  -5.7369e-06
     -1.3333   -0.0017201  -4.9675e-06
     -1.2525   -0.0016163  -4.0022e-06
     -1.1717   -0.0015134  -3.1631e-06
     -1.0909   -0.0014094  -2.9045e-06
     -1.0101   -0.0013054  -1.7971e-06
    -0.92929   -0.0012017  -1.4974e-06
    -0.84848   -0.0010981   -1.273e-06
    -0.76768   -0.0009936  -3.5167e-07
    -0.68687  -0.00088851  -4.0139e-08
    -0.60606   -0.0007838  -1.8998e-07
    -0.52525   -0.0006799    5.202e-07
    -0.44444  -0.00057573   1.1356e-06
    -0.36364  -0.00047029   6.7701e-07
    -0.28283  -0.00036516   9.2442e-07
    -0.20202  -0.00026011   1.0373e-06
    -0.12121  -0.00015501   1.0046e-06

                  QV        Points number                  198
     Voltage       Charge
           0    8.858e-12
    0.080808   7.5906e-10
     0.16162   2.2477e-09
     0.24242   4.4747e-09
     0.32323   7.4221e-09
     0.40404   1.1088e-08
     0.48485   1.5464e-08
     0.56566   2.0543e-08
     0.64646   2.6334e-08
     0.72727   3.2815e-08
     0.80808   3.9984e-08
     0.88889   4.7832e-08
      0.9697   5.6362e-08
      1.0505   6.5543e-08
      1.1313   7.5368e-08
      1.2121   8.5831e-08
      1.2929   9.6912e-08
      1.3737   1.0859e-07
      1.4545   1.2085e-07
      1.5354   1.3364e-07
      1.6162   1.4697e-07
       1.697   1.6081e-07
      1.7778   1.7512e-07
      1.8586   1.8989e-07
      1.9394   2.0507e-07
      2.0202   2.2065e-07
       2.101   2.3655e-07
      2.1818   2.5278e-07
      2.2626   2.6933e-07
      2.3434   2.8614e-07
      2.4242   3.0321e-07
      2.5051   3.2052e-07
      2.5859   3.3806e-07
      2.6667   3.5575e-07
      2.7475   3.7357e-07
      2.8283   3.9153e-07
      2.9091   4.0958e-07
      2.9899    4.277e-07
      3.0707   4.4583e-07
      3.1515   4.6395e-07
      3.2323   4.8208e-07
      3.3131   5.0018e-07
      3.3939   5.1829e-07
      3.4747    5.364e-07
      3.5556   5.5453e-07
